Input,Output,Id
I would love to see a deeper analysis of what happens during this phase of low success rate.,positive,K9rks4lk8CC
In particular training multi-task neural nets with shared feature representation and task specific final layer is probably 20-30 years old by now and entirely common,2,SJlghKO937
"While results look very compelling and the effort to is welcome, authors may want to consider extending to established optimizer benchmarks to enhance comparability (https://github.com/fsschneider/DeepOBS https://arxiv.org/abs/2007.01547)",positive,GRm39Fj2E_
"Perhaps worse, the paper immediately jumps from this patched-together explanation, straight to calling it a ""novel finding"", and then to suggesting design guidelines from it, as if it was now a proven fact.",2,Nko_4qPt-o5
It appears the only methodology contribution this paper is making is to apply the importance sampling strategy to the model refitting step in conformal Bayesian inference. ,2,_3U37vs8xfz
"While the authors compare different combinations of positive and negative classes in 3.4, to me, it seems pretty obvious that we should combine the clients' positive classes with subsampled negative classes.",2,fnD4GR-s73
More thorough discussion of the qualitative results should be helpful to understand whether the attention weights helped the model to focus on the right thing,positive,HyxtTsDjKH
"However, from a health economic outcome research aspect, the paper is currently at an early stage and may need further followups to support the validity of the identified patterns. ",positive,pIWDwAVUjoy
It would be good if the authors could provide a motivation in section 2 how this modification helps to speed up training,positive,_PRjdxzjmq
The paper seems to have an interesting perspective (with the proposed looser relaxation) of the convex relaxation of an adversary adding noise at every layer in the network,positive,HyeOL_lGcB
"While the authors state clearly that HYPE does not measure diversity, I think it would be worth discussing in more detail how one could use human evaluation to measure diversity, as it is arguably a more interesting challenge.",positive,rJxJvdtzcE
I was confused by the authors suggesting that they used a Wizard of Oz approach for their first study (only?),2,p5rtDzJ7Fdr
"The proposed architecture for solving these tasks is intuitive, although perhaps more development could go into the design of the controller to produce the instructions.",positive,HEnxep5kRWq
" More importantly, the experiments are very preliminary and there is much more room to deliver more comprehensive and compelling experiments.",2,HyjN-YPlz
"Even if I were to look at the experiments only, the results are not that impressive.",2,QxkRd5ozRRy
"This submission is very badly written, it is not clear even on a basic level what is going on.",2,SMMg9-chRzc
"The allusions to word2vec perhaps seem as if there is a 1-hot encoding of datapoints in the first layer which are embedded and then penalized to generate other datapoints, but which ones? neighbors? distal points? If it is just the point itself then this is no different than an autoencoder with a reconstruction loss. This has to be clarified.",ify,SMMg9-chRzc
"The CFS metric depends on a hyperparameter (the ""retention ratio""), which here is arbitrarily set to 80% without any justification.",ify,SyefBu5O3m
The setting of CausalLM seems a bit weird that a unidirectional encoding behavior makes obviously no sense. ,2,ZuM4hIEX36
Get fitted from Figure 2 I guess?,ify,ZuM4hIEX36
Won't those demographics differ from the demographics of people who use ride-sharing services?,ify,ryx6YWDLo4
The paper seems totally misusing the reparametrisation trick and stochastic outputs of layers in NNs. Eq. (2) is not the objective of variational inference that seems to be required for stochastic outputs and the reparametrisation trick as presented before the equation. The objective misses the KL-divergence term! Without it what would stop a neural net to set sigmas to 0 and forget about the stochasticity altogether? Not to mention that the current objective is not mathematically justified.,2,HJg4ZAZ0tH
"If there is no mix and error in eq. (2) and the networks were trained using this loss (and based on provided code they were using this loss), my wild guess of explaining why this may give best results in the experiments is that the models were trained for surprisingly small number of epochs. Therefore, a hypothesis would be that this small number of epochs did not allow the networks to switch sigmas to 0.",ify,HJg4ZAZ0tH
"First of all, its clarity. It seems that the paper requires a lot of polishing.",2,HJg4ZAZ0tH
The first paragraph of this review is based on my assumptions from the paper since I am not completely sure I understand it correctly.,ify,HJg4ZAZ0tH
More about the clarity issues below,ify,HJg4ZAZ0tH
"""In other words, in-distribution samples possess more features that convolutional filters react to than OOD samples"" ""“ first of all, this sentence is not easy to parse. Secondly, it is unclear, why this should be true.",2,HJg4ZAZ0tH
The number of classes can hardly be called a hyperparameter also.,ify,HJg4ZAZ0tH
"""because they will not be relevant to the classification accuracy"" ""“ who are they?",2,HJg4ZAZ0tH
"""We tuned the parameters of the CNN in Equation 4 using 50 validation training images taken from the 100 validation images. The best parameters were chosen by validating the performance using the rest of 50 validation images."" ""“ this is confusing. What parameters do the authors talk about in the second sentence if not the parameters of the CNN?",2,HJg4ZAZ0tH
Some important details are presented factually without any motivation.,ify,HygQp_7b9r
"In summary, the scope of experiments and presentation of results would need to be significantly improved in order for
this work to reach the quality bar of ICLR.",ify,HygQp_7b9r
This is very similar to the relational pooling paper but I don't get the value of this model .,ify,1m_YuhCMZ5Q
No amazing theoretical result shows that the k-reconstruction network achieves the best expressiveness (higher than k-WL/k-FWL).,ify,1m_YuhCMZ5Q
