Input,Output,Id
But the IR with ref field map seems to have better performances than the proposed method.,"However, it would be beneficial to compare the proposed method's performance with that of the IR with ref field map, which has shown promising results.",X8mfXIOYQs
Scheduling is an intractable problem.  How does the approach get good schedules with no backtracking?,"The paper could further explain how the proposed approach achieves effective scheduling without backtracking, given the intractability of the problem.",Skg0oMcwsE
Based on the example given the approach guarding for time is not sound and can result in schedules that do not schedule all mandatory activities.,"The paper could provide a more robust justification for the time-guarding approach, ensuring that it can reliably schedule all mandatory activities.",Skg0oMcwsE
The experiments are not convincing for several reasons:,The experiments could be strengthened by addressing several concerns:,SJx5gjF2FB
"Overall, I'm not convinced that the proposed approach would lead to any substantial improvement for MMD-GAN in practice, and the experiments are not really convincing as they are now.","Overall, it remains unclear how the proposed approach would lead to substantial improvements for MMD-GAN in practice, and further work may be needed to enhance the persuasiveness of the experiments.",SJx5gjF2FB
"Unfortunately, the most recent works referred to in the paper (other than the author's own) are mostly from ages ago.",It would be beneficial for the paper to include more recent works in the field to strengthen its relevance and show how it builds upon or differs from current research trends.,SklmeUmZ2E
"the current version, in my opinion, does not deliver significantly novel insights, nor considering a reasonably practical threat model.","While the current version presents a unique approach, it could benefit from providing more novel insights and considering a more practical threat model.",dwEwHK1pMk
I couldn't see the practical utility and contributions form these results.,It would be helpful if the paper could further clarify the practical utility and contributions of these results.,dwEwHK1pMk
the baseline models in comparison are too weak and unfair.,"For a more equitable comparison, it is recommended that the baseline models be strengthened.",dwEwHK1pMk
this paper contains too many high-level discussions accompanied with limited or even no empirical evidence.,The paper would benefit from including more empirical evidence to support the high-level discussions presented.,dwEwHK1pMk
"In my opinion, the current version requires significant revision.",The paper could be improved with substantial revisions to address the concerns mentioned.,dwEwHK1pMk
I don't think the motivation is strong enough and is convincing.,The motivation could be strengthened and made more compelling to better establish the importance of the study.,BEAS7F3O-4
It seems that the experiment results are not strong enough to support the proposed opinion.,The experimental results could be bolstered to more convincingly support the proposed hypothesis.,BEAS7F3O-4
The arguments about ad hoc design are self-contradictory.,The discussion on ad hoc design appears to have some inconsistencies.,zcXYTJJO6_2
This is a bit incremental even they achieved 1% accuracy up.,"While the model size reduction is modest, the improvement in accuracy is noteworthy.",zcXYTJJO6_2
"However, it is believed that whenever group convolution is implemented in an efficient manner when considering the architecture of GPU, one-by-one convolution is the most memory-efficient design choice compared to other design choices, including group convolution.",It may be worth exploring whether one-by-one convolution could be a more memory-efficient design choice than group convolution when implemented efficiently on GPU architectures.,zcXYTJJO6_2
"Understandably, the authors do not want to waste space in the main text to explain methods adapted from some other work.","While the authors may have aimed to conserve space in the main text, providing more detailed explanations of methods adapted from other works in the appendix would enhance the paper's clarity.",RMeUd9fmjyj
"However, the proposed model is trivial.","However, the proposed model appears to be quite straightforward.",r1xX5KR0OB
The experimental results in this paper are weak.,The experimental results in this paper could be strengthened.,r1xX5KR0OB
"Secondly, the baselines in this paper are too trivial.","Additionally, the baselines in this paper could be more challenging.",r1xX5KR0OB
The main issue of this paper is the novelty is incremental.,The main issue of this paper is that the novelty appears to be incremental.,r1xX5KR0OB
The baselines used in this paper is also trivial.,The baselines used in this paper could also be more robust to better demonstrate the effectiveness of the proposed method.,r1xX5KR0OB
I don't think this paper is suited for publication since it lacks enough substance.,The paper could benefit from additional substance to strengthen its case for publication.,tQgm2nhJUv
"There is gross error in the abstract: the curse of dimensionality doesn't refer any cubic scaling, but on an exponential dependence in dimension.",There is a significant error in the abstract regarding the curse of dimensionality; it typically refers to an exponential dependence on dimension rather than cubic scaling.,tQgm2nhJUv
the first 4 pages are spent on elementary definitions. This appears as an unnecessary padding.,"The first four pages focus on elementary definitions, which might be better placed in an appendix or supported by citations to streamline the paper's introduction.",tQgm2nhJUv
"Experimental results are weak, and comparisons with other methods are lacking, so it is hard to judge what are the actual gains.",Strengthening the experimental results and including comparisons with other methods would provide a clearer understanding of the benefits of this approach.,tQgm2nhJUv
"- Section 1.1: ""Autonomous driving techniques also exist, though they lack the ability to do high level planning to choose paths that are advantageous for longer term navigation."" --This is not true. See any of the numerous good systems described in literature.","In Section 1.1, it may be beneficial to consider the capabilities of autonomous driving techniques in high-level planning for long-term navigation, as there are several systems described in the literature that address this aspect. For example, the Journal of Field Robotics has special editions on the DARPA Urban Challenge and Desert Challenge, as well as the Learning Applied to Ground Robots (LAGR) program, which provide valuable insights.",Bknbc_kxG
"Related work is incomplete, for example the use of tensor-trains in RNNs to model EHR data (Yang et al) - would the proposed approach not benefit for the use of such tensorization to better model the high-dimensional, sparse EHR data?","The related work section could be enhanced by including studies such as the use of tensor-trains in RNNs to model EHR data (Yang et al), which might also suggest potential benefits for the proposed approach in modeling high-dimensional, sparse EHR data.",rygHwa3up7
"Considering the lack of the aforementioned experiments and of more rigorous theoretical support for FCL for robustness that generalizes beyond the gaussian/uniform noise evaluated here, this paper is still not ready for publication.","To strengthen the paper's claims and readiness for publication, it would be beneficial to include the aforementioned experiments and provide more rigorous theoretical support for FCL's robustness that generalizes beyond the gaussian/uniform noise evaluated in this study.",BdLMha3H8_N
The Figures are in general really hard to read when printed. Perhaps you could use the available space a bit more efficiently.,"To enhance readability, especially when printed, consider optimizing the use of space in the Figures.",xmj7bBnBv4
This makes the problematic of designing methods for seeing each image once a bit artificial because N2N is already well suited to the task.,"It would be beneficial to clarify how the proposed method for seeing each image once offers advantages over N2N, which is already well adapted to the task.",rJepWPJ9t4
I would advocate against accepting the paper based on clarity alone at this point.,I recommend that the paper's clarity be improved before considering acceptance.,BkgW8i5RKB
